aa	ah
shauri	advice
shauri	counsel
shauriana	make consultations
shavu	- cheek
Shawali	tenth month in the Moslem calendar
shawishi	tempt
shawishi	persuade
shawishi	coax
shawishi	entice
shawishika	be tempted
shawishika	be persuaded
shayiri	barley
shazasi	sal ammoniac
shazia	long needle
shazia	bodkin
shazia	sailmakers needle
shegele	beaded loinbelt
sheha	- headman
sheha	chief
sheha	councillor
sheha	old person
sheha	village head
sheha	party head
sheha	ward executive officer
shehe	sheikh
shehe	- wise old man
shehena	cargo
shehena	shipment freight
sheheneza	load cargo
sheheneza	possess a lot of things
sheheni	load cargo
shela	i - veil
shela	sword dance
shelabela	carelessly
shelabela	hopelessly
shelabela	untidily haphazardly
shelisheli	bread fruit
shemasi	- deacon
shemeji	sister brother in law
shemeji	wife husbands friend
shemere	nose ring subdue sb
sheneza	load cargo
shenzi	uncouth
shenzi	barbarous
shenzi	uncivilized
sherasi	- dance leader
shere	ridicule
shere	derision
shere	joke
sherehe	celebration
sherehe	festival
sherehe	glossary
sherehe	blurb
sheria	law
sheria	statute
sheria	code
sheria	decree
sheria	order
sheria	ordinance
sheria	regulations
sheria	obligation
sherisi	carpenters glue
sheshe	beautiful
sheshe	good
sheshe	nice
sheshi	light muslin material thin tissue paper
shetani	satan
shetani	devil
shetani	demon
shetani	wicked person
shetasheta	limp with a stick
shetri	stern
shetri	poop of a dhow
shiba	be satisfied
shiba	be satiated
shiba	be in very close contact with sb have a soft spot for sb
shibe	satiety
shibe	fulness
shibe	satisfaction I ate to my satisfaction
shibisha	satisfy sb give enough to eat
shibli	lion cub
shida	hardship
shida	distress
shida	problem
shida	difficulty want
shifta	- pirate
shifta	brigand
shifta	highway robber
shifti	shift
shifti	shift
shika	hold
shika	catch apprehend
shika	arrest
shikamana	hold on together
shikamana	be consolidated
shikamoo	respectful greeting to an elder
shikana	be in co-operation with
shikana	be together in all aspects
shikana	be at grips with sb
shikilia	hold on tight
shikilia	clutch
shikilia	cling to
shikilia	insist on
shikilia	persist
shikio	handle
shikio	something to hold by
shikio	rudder
shikiza	use do something temporarily
shilamu	water pipes stem
shilanga	long handled hoe
shilingi	shilling
shimali	north the direction of Mecca
shimali	left side
shime	call or appeal to increase effort
shimizi	chemise
shimizi	petticoat
shimo	- hole
shimo	pit
shimo	cavity
shina	- stem
shina	tree trunk
shina	cell
shinda	win
shinda	succeed
shinda	spend a whole day
shinda	half full
shinda	semi-full
shindana	compete strive
shindana	struggle
shindani	competitive antagonistic
shindani	opposing
shindani	argumentative
shinde	defeated
shinde	unsuccessful
shinde	conquered
shinde	overcome
shinde	competing
shindika	close
shindika	shut
shindilia	press
shindilia	compress
shindilia	ram in
shindilia	force into
shingo	neck
shinikiza	pressurize
shinikiza	press
shinikiza	compel
shinikiza	be firm over sth
shinikizo	pressure
shira	syrup
shiraa	womens opaque face veil
shirika	corporation
shirika	organization
shirika	congregation
shirika	corporate
shirika	of common interest
shiriki	cooperate
shiriki	participate
shiriki	share in
shiriki	take part in
shiriki	be intimately devoted to
shiriki	be addicted to
shiriki	receive Holy Communion
shirikiana	cooperate with
shirikisha	co-opt
shirikisha	incorporate include involve be composed comprised of
shirikisho	federation
shirikisho	union
shirikisho	corporation
shirikisho	confederation
shisha	hourglass
shitadi	persist
shitadi	persevere
shitadi	endure
shitadi	continue non-stop
shiti	- bed sheet
shizi	alcohol made from coconut palm
shizi	bamboo or cashew apple
shoga	womans female friend
shoga	homosexual
shoga	gay
shogi	pit inside a vessel where slaves were hidden
shoka	- axe
shokishoki	- fruit of the rambutan tree
shokoa	forced labour
shokoa	abandoned farmland
shombe	halfcaste person
shombe	mulatto
shombe	mixed blood
shombe	coloured
shombo	fish smell
shomoro	sparrow weaver finch
shona	sew mend by sewing
shonana	be packed full
shonana	be congested
shonde	- heap of human animal dung dried cake of dung
shonde	grudge
shonde	animosity
shonga	curse
shonga	madness
shonga	lunacy
shonoa	unsew
shonoa	undo sewing
shore	black-capped bulbul
shore	tuft
shoro	unsuccessfully awkwardly crookedly
shoti	hurriedly
shoti	fast quickly
shoti	loss
shoto	left handedness
shoto	left hand
shoto	astray askew
shtaka	- complaint
shtaka	accusation
shtaka	charge case
shtaki	accuse
shtaki	charge
shtua	startle
shtua	scare shock
shtua	surprise
shtua	sprain
shtua	dislocate
shtusha	shock startle
shua	lower a boat ship into the water lower down
shubaka	- niche
shubaka	alcove
shubiri	measure between tips of the thumb and the middle finger
shubiri	bitter aloe
shuduza	-coconut palms
shufaa	forgiveness
shufaa	pardon
shufaa	mercy
shufaa	absolution
shufaa	partial recovery
shufaa	improvement
shufaa	relief
shufaka	compassion
shufaka	mercy
shufaka	kindness
shufaka	tenderness
shufu	see
shufu	look at
shufwa	even number
shughuli	business
shughuli	occupation
shughuli	activity
shughuli	engagement
shughulikasupsup	be busy engaged occupied attend to business
shughulika	be in a straight line
shughulikia	attend to
shughulikia	be busy with be responsible for
shughulisha	occupy sb
shughulisha	keep sb busy
shuhudia	witness
shuhudiani	witness fee
shujaa	- hero
shujaa	warrior
shujaa	brave person
shuka	t
shuka	debark
shuka	disembark
shuka	alight
shuka	descend
shuka	go down
shuka	bed sheet
shuka	loin cloth
shuke	- - ear of various plants
shukia	get off at land at
shukrani	- gratitude
shukrani	thanks acknowledgement
shuku	suspect
shuku	doubt
shuku	feel scruples
shukurani	taz
shule	school
shuli	backyard
shumari	aniseed
shumbi	deep water depth
shumbi	heap of sand
shumburere	sombrero
shume	wild cat
shume	large male cat
shume	evil person
shumndwa	hyena
shundi	stripped coucal
shunga	drive off away fowls birds
shunga	show off
shuo	ableness
shuo	ability
shuo	deftness
shupaa	be hard
shupaa	be tough
shupaa	be firm
shupaa	be well set
shupaa	be dry
shupaa	be obstinate
shupaa	be defiant
shupaa	be stiff
shupaa	be unyielding
shupalia	insist
shupalia	affirm with urgency
shupatu	- narrow strip of plaited palm leaves for lacing bedsteads
shupavu	dry
shupavu	firm
shupavu	tough
shupavu	strong
shupavu	hard
shupavu	obstinate
shupavu	pertinent
shupaza	spades in playing cards
shupaza	harden
shupaza	render tough
shupaza	make obstinate
shupu	- straw basket
shura	saltpetre
shuru	embroidery stitch
shuru	tack
shuruti	by force
shuruti	obligatory
shuruti	compulsorily
shurutisha	force
shurutisha	compel
shurutisha	oblige
shusha	lower
shusha	bring down
shusha	demote
shushu	- husk
shushu	peel
shushu	skin
shushu	rind
shushushu	intelligence officer
shuta	fart
shuta	break wind
shuti	- kick
shuti	shot
shutuma	accusation
shutuma	blame
shutuma	criticism
shutuma	insinuation
shutumu	accuse
shutumu	tell off
shutumu	reprove
shuu	- foamy sea waves
shuzi	- fart
shwari	calm
shwari	tranquil
si	is are not
sia	sow seeds
sia	drive away ants with fire
siafu	red brown ants
siafu	safari ants
siagi	butter
siahi	scream
siasa	politics
sibabi	heap abuse on sb overwhelm with abuse slander
siborio	ciborium
sibu	foretell an event which later happens
sibu	be confronted with
sibu	be bombarded
sibu	be attacked
sidiria	brassiere
sifa	fish oil used to caulk vessels
sifa	praise
sifa	reputation qualifications
sifa	credentials trait
sifia	kt praise sb
sifia	glorify
sifia	honour sb
sifika	be exaulted
sifika	be renowned for sth
sifika	be praiseworthy
sifongo	sponge
sifu	commend
sifu	praise flatter
sifuri	brass
sifuri	zero
sifuri	nought
sifuri	nil
siga	change colour due to dirt filth
siga	contradict
siga	differ
sigara	cigarette
sigi	small short-tailed brown bird with striped chest and red beak
siha	health
siha	strength
sihi	beg humbly
sihi	beseech
sihi	intreat
sihi	suplicate
sihi	be confirmed to be correct or true
sihi	be agreeable
sihi	conform
sihi	comply
sihiri	bewitch
sihiri	throw a spell over sb something
sihiri	witchcraft
sihiri	magic
sijafu	wristband
sijambo	Im fine
sijambo	Im much better
sijida	coloured spot on the forehead
sijiko	grief
sijiko	sadness
siki	vinegar
sikia	hear
sikika	be audible
sikika	be heard
sikilizana	get along well
sikilizana	come to an understanding
sikilizana	agree to each other
sikini	hair cut that leaves a tuft on the forehead
sikio	ear
sikitika	be sorry
sikitika	be sad
sikitika	be disappointed
sikitiko	grief
sikitiko	sadness
sikitiko	sorrow disappointment regret
sikitikisha	disappoint sadden
sikivu	obedient attentive
siku	day
sikukuu	holiday
sikukuu	festival
sila	scoop bucket pail for bailing water out of a boat
silabasi	syllabus
silabi	syllable
silaha	weapon
silaha	arms
silesi	slice of bread
silia	entrust something to sb while away
silika	instinct
silika	disposition
silika	character
silimu	be converted to Islam
silinda	cylinder
silingi	sling
silisili	i - chain
silisili	shackles
silisili	fetter
sima	stiff-porridge
simama	stand
simama	rise up
simamia	preside supervise
simamia	administer
simamisha	stop
simamisha	obstruct
simamisha	thwart
simamisha	terminate
simanga	sneer
simanga	jeer at
simanga	reproach
simango	jeers
simango	sneers
simango	reproach
simanzi	grief
simanzi	depression
simanzi	deep sorrow
simba	lion
simba	code a language
simbamarara	large spotted hyena
simbi	small cowry shell
simbika	entangle thread on a fishing hook
simbiko	entanglement
simbo	thimble
simbua	decode
simbulia	reproach
simbulio	reproachment
sime	long double-edged knife
simika	erect
simika	set up
simika	install in office
simika	appoint
simile	step aside make way out of the way
simo	jargon argot
simo	patois
simo	count me out it doesnt concern me
simsim	sesame
simu	telephone
simu	type of sardine or sprat
simulia	narrate
simulia	recount
simulizi	story
simulizi	tale
simulizi	narrative
sinasina	be on the verge of tears
sinasina	breathe hard
sindano	needle
sindika	extract
sindika	shut
sindika	close
sindika	set ajar
sindikiza	escort
sinema	cinema hall
sinema	movie
sinema	film
singa	massage
singa	rub with oil perfume
singa	long straight hair
singe	bayonet
singizia	slander
singizia	insinuate
singizia	calumniate
sini	gum of the teeth
sini	feature
sini	complexion shape
sini	porcelain
sini	chinaware
sini	never
sini	not at all
sinia	platter
siniguse	fragile glass beads
sinki	sink
sinodi	synod
sinua	push aside
sinua	bend over
sinua	tilt
sinya	hate
sinya	despise
sinya	scorn
sinyaa	wither away
sinyaa	shrivel pine away
sinyaa	waste away
sinzia	doze
sinzia	be drowsy
sinzia	pickpocket
sio	broken pot
sipo	Im not here
sipo	Im not involved
siraji	lamp
siraji	torch
sirati	heavenly path
siri	secret
siri	secrecy confidential clandestine
siri	covert
siri	evolve change drastically
siri	turn out to be the opposite
siriba	plaster
siriba	smooth over a surface by wet soil cement
siriba	spread liquid stuff on another surface
siridado	moth which destroys clothes and paper
sirima	lose patience through being kept waiting for a long time
sirinji	syringe
sisi	we
sisi	us
sisimizi	small black ant
sisimka	tingle with fear cold excitement
sisimka	cause the blood to run cold
sisimka	raise hairs
sisimua	thrill
sisimua	excite
sisimua	stir up the passions
sisisi	fully packed
sisisi	closely knit together
sisitiza	emphasize
sisitiza	insist
sisitiza	stress
sista	nun
sista	sister
sista	senior hospital nurse
sita	six
sita	hesitate
sita	pause
sita	falter
sita	vacillate
sitaha	deck
sitara	hiding concealing something which is shameful
sitara	hiding place
sitara	private place
sitawi	prosper
sitawi	flourish
sitawi	be in good condition
sitawisha	promote growth
sitawisha	cultivate
sitawisha	develop
sitawisha	embellish
sitawisha	enhance
siti	madam
siti	lady
sitiari	metaphor
sitini	sixty
sitiri	disguise
sitiri	conceal
sitiri	camouflage
sitiri	cover up
sitiri	protect
sitiri	safeguard
sitiri	shelter from
sivyo	aint that so isnt that so
sivyo	not that way
siyo	no
siyo	not so
siwa	wooden ivory horn used as a trumpet
siwa	mace
skauti	boy scout
skeli	scale
sketi	skirt
skonzi	scones
skonzi	roll
skonzi	bun
skrubu	screw
skuli	school
skuta	scooter
sleti	slate
soba	be weak
soba	be slack
soda	soda
sodai	arrogant person
sodai	proud person
sodo	sanitary pad napkin
sofa	sofa
soga	chat
soga	light conversation
soga	small talk
sogea	move
sogi	saddle-bag
sogi	pannier
sogoa	have a chat
sogona	clean wipe oneself with grass leaves after defecating
sogora	dance leader
sogora	expert
soka	soccer
soketi	socket
soko	market
soko	mart
soko	business centre
sokoa	untwine something from inside
sokoa	unwind from sth
sokomeza	push into a small space
sokomeza	force into a limited space
sokomoko	hullabaloo
sokomoko	confusion
sokomoko	turmoil
sokondo	cold chisel diamond chisel
sokota	twist
sokota	twine
sokota	have stomach cramps
soksi	sock
sokwe	ape
sokwemtu	chimpanzee
sokwemtu	gorilla
soli	sole of a shoe
soli	sergeant major
solo	round hard seeds used in the game of bao
solo	terrace dug on a cotton farm to prevent loss of water
solo	matrix
soma	read
soma	study
soma	receive teaching attend school be educated
soma	observe sb
somba	carry to and fro collect
somba	fish
sombera	move by means of clasping and grasping with hands as when climbing a tree
sombogoa	twist the body
sombogoa	wriggle
sombombi	troublesome person
sombombi	bothersome person
somea	read to for
somea	study
somea	take a subject
someka	be readable
someka	be decipherable
somesha	teach
somo	subject
somo	lesson
somo	namesake
somo	friend
somo	- initiation instructor
sona	relax
sona	rest
sonara	jeweller
sonara	goldsmith
sonara	silversmith
sondo	- woodborer
songa	press go forward prepare stiff porridge
songa	fit tight
songa	squeeze
songa	twist
songamana	be jammed together
songoa	wring
songoa	squeeze out
songoa	press together
songofu	squeezed out
songonyoa	squeeze together
songonyoa	tight
songonyoa	twist hand
songonyoa	wring out
songoro	long grey short finned fish
songosongo	twisted
songosongo	not straight
soni	shyness
soni	shame
sonoa	hurt
sonoa	grieve
sonoa	pain
sonona	make well done
sonona	be sorry
sonona	grieve
sonona	regret
sononeka	be grieved
sononeka	be vexed
sononeka	feel hurt
sononeko	feeling grieved
sononeko	grief
sonya	whistle in contempt
sora	cohabit
soro	- bridegrooms dish
soroveya	surveyor
soseji	sausage
sosholojia	sociology
sosona	clean oneself after defecation
sota	crawl along
sota	have a rough time
sotoka	rinderpest
sowera	dance gracefully
soza	bring ashore
soza	lose
soza	squander
soza	collect and move in a group
spaki	spark
spana	spanner
spanaboi	mechanics assistant
spea	sparepart
speksheni	inspection
speksheni	inspect
spekta	inspector
spidi	speed
spika	- speaker
spinachi	spinach
spiriti	spirit
sponji	sponge
spoti	- sport
spoti	sport
springi	spring
staafu	retire
staajabia	be astonished
staajabia	be amazed
staajabia	be astounded
staarabika	be civilized
staarabisha	civilize
staarabu	civilized
stadi	skillful person
stadi	expert
stafeli	soursop fruit
staftahi	breakfast
staftahi	breakfast
staha	respect
staha	honour
staha	reverence
stahabu	prefer
stahabu	be pleased with
stahabu	like
stahamili	endure
stahamili	persevere
stahamili	be patient
stahi	respect
stahi	honour
stahifu	honourable
stahifu	respectful
stahiki	deserve
stahiki	be worthy
stahiki	be duty bound
stahili	deserve
stahili	merit
stahili	merit Kar
stahimilivu	patient
stahimilivu	enduring
staili	style
stajiri	beg
staka	leather sandal
stakabadhi	receipt
stakabadhi	entrust to
stakabadhi	hand over
stakimu	reside
stakimu	dwell
stakimu	prosper
stakimu	be proved
stakimu	be confirmed
stakiri	be calm concentrate rest
stala	sash
starehe	be comfortable
starehe	have a luxury life
starehe	comfort
starehe	repose
starehe	luxurious life
stashahada	diploma
stata	starter
stawi	prosper
stawi	thrive
steki	steak
stempu	stamp
stendi	stand
stesheni	station
steshenimasta	station-master
stihizai	disgrace
stihizai	insult
stihizai	dishonour
stihizai	disgrace
stima	steamer
stima	gas cooker
stimu	spark
stimu	electricity
stoo	store
stoo	warehouse
stoo	godown
stoo	storeroom
stoo	storehouse
stova	gas cooker
stovu	stove
stua	startle
stua	sprain
studio	studio
stuli	stool
sua	spit
sua	eject water from the mouth
suala	- issue
suala	question
subira	patience
subira	endurance
subira	patient waiting
subiri	wait
subu	mould
subu	cast
subu	mould
subukua	poke
sudi	luck
sudusi	sixth
suezi	soft steel
sufi	kapok
sufii	hermit
sufii	dervish
sufii	mystic
sufii	monk
sufu	wool
sufufu	in large amounts
sufuria	metal pot pan
sugu	callosity
sugu	wart callous
sugu	hardened
sugua	scrub
sugua	rub
sugua	scour
sugua	clean by rubbing
suheli	south
suhuba	friendship
suhubiana	befriend one another
sui	patient person
suitafahamu	i - misunderstanding
sujudia	bow to
sujudia	bow before
sujudia	adore
sujudu	bow in reverence
suka	kt ele a
suka	e shake
suka	wag
sukari	sugar
sukasuka	shake
suke	corn grain ear
suko	whetstone
suko	grindstone
sukua	break apart
sukuma	push
sukumawiki	rape plant
sukumawiki	kale
sukumiza	push
sukumiza	shove
sukutu	keep quiet
sukutu	be silent
sukutu	shut up
sukutua	gargle
sukutua	rinse month
suli	crimson cloth
sulika	feel dizzy
sulisuli	type of kingfish
sultani	sultan
sulu	polish
sulubisha	torture
sulubisha	crucify
sulubu	crucify
sulubu	torture
sulubu	hard labour
suluhia	behave according to norms
suluhisha	reconcile
suluhisha	mediate
suluhisha	conciliate
suluhisho	reconciliation
suluhisho	mediation
suluhisho	arbitration
suluhisho	solution
suluhu	compromise
suluhu	reconciliation
suluhu	draw
sumaku	magnet
sumaku	loadstone
sumba	worry
sumba	be confused
sumba	sell at a give away price
sumba	sell something off
sumba	enclosed tip of a banana plant
sumba	coconut shell fibres
sumbua	bother
sumbua	vex
sumbua	disturb
sumbua	annoy
sumbuka	waste time be disturbed
sumbufu	disturbing
sumbufu	annoying
sumbwi	fist
sumsuma	energetic
sumu	poison
sumu	toxin
sumu	poison
suna	commendable deed
suna	meritorious deed circumcise
sundusi	high quality silk
sungua	gather chaff
sungura	rabbit
sungura	hare
sungusungu	black ant
sungusungu	vigilante
sungusungu	militia
sungusungu	home guard
suni	of sunnite sect
sunza	give something reluctantly
sunza	feel around
sunza	grope about
sunza	throw with a sling
sunza	move the hand forward and backward
sunza	tease
sunza	provoke
sunza	annoy
sunza	irk
sunzu	tuft of hair on the fore head
supamaketi	supermarket
supu	soup
sura	appearance
sura	face
sura	feature
sura	look
sura	chapter
sura	fart
suri	nut crackers
suria	concubine
suriama	halfcaste
suriama	mixed blood
suriama	coloured
surua	measles
suruali	trousers
surupwenye	wide loose trousers
surupwenye	overall
surupwenye	overcoat
sururu	type of sword fish
sururu	curlew
sururu	palm boring beetle
sururu	pickaxe
surwa	additional broth
susa	boycott
susa	abandon
susa	shake
susa	jigger
susa	tartar
susasupsup	unsweet tip of a sugarcane
susi	liquorice
susia	boycott
susu	hammock
susu	hanging bed
susu	round pad
susuma	carry large quantities of things
susurika	loiter
susurika	roam about
susurika	go about aimlessly
susuwaa	become dry and hard
susuwaa	become ashamed
susuwaa	be abashed
susuwaa	be humiliated
suta	confront charge one publicly for spreading lies rumours
suta	bankrupt person
suti	suit
suto	public charge for wrong doing spreading rumours
suuza	rinse
suuza	swill
swaga	drive along fast
swala	prayer
swala	gazelle
swahibu	friend
swali	question
swali	pray
sweta	sweater
swi	fish
swichi	switch
swila	hammock
swila	spitting cobra
ta	hit
ta	beat
ta	lay eggs
taa	lamp
taa	lantern
taa	large flat fish
taa	skate
taa	discipline
taa	obedience
taa	exalted
taabani	in distress
taabani	in serious straits
taabika	be in distress
taabika	be in a crisis
taabika	struggle
taabini	narration of remembrance of a deceased
taadabu	be polite
taadabu	behave with courtesy
taadhima	honour
taadhima	glory
taadhima	respect
taadhimu	honour
taadhimu	respect
taahari	be late
taahari	delay
taahira	mentally retarded person
taahira	delay
taala	exalted
taalaki	be connected with
taalaki	be affliated to
taalamika	be knowlegeable
taali	come
taalimu	education
taamali	think
taamali	comprehend
taamuli	thought
taamuli	meditation
taanisi	please
taanisi	give pleasure to
taanisi	entertain
taanusi	enjoyable
taanusi	loveable
taanusi	attractive
taarabu	Arabian Indian melody
taaradhi	inquire
taaradhi	investigate
taarifa	information
taarifa	report
taarifu	inform
taarifu	report
taashira	sign
taashira	symbol
taashira	indication
taasisi	institute
taataa	be worried
taataa	fret
taataa	be confused
taathira	scar
taathira	defect
taathira	influence
taabahari	become expert
taabahari	specialize
tabaini	antithesis
tabaka	layer
tabaka	stratum
tabaka	social class
tabaka	class
tabakero	snuff box
tabakero	tobacco case
tabana	gabble a spell
tabanga	adulterate
tabanga	spoil
tabano	special words said to wish a sick person well
tabaradi	be calm
tabaradi	become cool
tabaruku	bless
tabaruku	join together in prayer conversation
tabasamu	smile
tabasamu	smile
tabasuri	become wise
tabasuri	become prudent
tabawali	urinate
tabenakulo	tabernacle
tabia	habit
tabia	character
tabibu	clinical officer
tabibu	doctor healer
tabii	imitate
tabiki	be equal to
tabiri	forecast
tabiri	prophesy interpret dreams
tabu	distress
tabu	difficult circumstances
tabu	misery
tabua	beat a sisal leaf till the fibres can be seen
taburu	parade
taburu	drill
tabwatika	soften
tabwatika	be soft be loose
tabwatabwa	soft
tadaraki	undertake
tadaraki	take responsibility
tadi	transgress
tadi	offend
tadi	be rude
tadi	transgression
tadi	offence
tadi	rudeness
tadibiri	good management
tafadhali	please
tafadhalisha	request kindly
tafakari	think
tafakari	meditate
tafakari	ponder
tafakuri	thought
tafakuri	meditation
tafiri	disrupt
tafiri	trouble
tafiri	bother
tafiri	disturb
tafishi	vex
tafishi	bother
tafishi	disturb
tafiti	research
tafiti	investigate
taflisi	confiscation
tafrani	bother
tafrani	disturbance
tafrani	trouble
tafrani	fuss
tafrija	party
tafrija	reception
tafsiri	translate
tafsiri	translation
tafu	muscle
tafuna	chew
tafuna	nibble
tafuna	gnaw
tafuta	search
tafuta	look for
tafuta	search out
tafuta	find
tafuta	obtain
taga	lay eggs
taga	bifurcated branch
tagaa	straddle
tagaa	branch
taghayari	decompose
tahabibu	speed
tahadhari	be wary
tahadhari	be cautious
tahadhari	precaution
tahafifu	betterment
tahafifu	improvement
tahafifu	low
tahafifu	insignificant
tahajia	spelling
tahajia	orthography
tahakiki	review
tahakiki	critique
tahalili	dirge
tahamaki	take a quick notice
tahamaki	observe
tahanani	irreparable
tahania	congratulation
taharaki	be upset
taharaki	be confused
tahariri	editorial comments
taharizi	side pieces of a rob
taharuki	excitement
taharuki	disquiet
taharuki	anxiety
tahayari	feel ashamed
tahayari	feel shy a
tahayuri	nm shame
tahini	test
tahini	examine
tahiri	circumcize
tahiyatu	recitation after second or last bow
tahiyatu	style of sitting when praying be ready to leave
tai	eagle
tai	tie
tai	necktie
taibu	good certainly very well
taibu	good
taifa	nation
taifisha	nationalize
taifodi	typhoid
taipu	type
taipu	typewriter
taire	attention
taire	exactly
taire	okay
tairi	tyre
taiti	skin-tight clothes
taja	mention
tajamala	favour
tajamali	favour
tajamali	do a favour
taji	crown
taji	diadem
taji	championship
tajiri	rich wealthy person
tajiri	business-man woman
tajiri	employer rich
tajiri	wealthy
tajiriba	experience
tajirika	become rich
tajuwidi	good reading of the Koran
taka	dirt
taka	filth
taka	rubbish
taka	wish
taka	want
taka	need
taka	be on the verge of
taka	be inclined
taka	have a desire for
takabali	assent accept a prayer request
takabari	be proud
takabari	put on airs
takadamu	precede
takadamu	start
takadamu	go before
takadamu	lead the way
takariri	repetition
takasa	cleanse
takasa	purify
takata	be clean
takata	spread on playing board ready to play
takataka	rubbish
takataka	filth
takataka	dirt
takatifu	holy
takatifu	sacred
takbira	expression of glorifying God
takdiri	Gods power
takdiri	grace of God
taki	coconut dregs
takia	cushion
takikana	be needed
takikana	be wanted
takilifu	discomfort
takilifu	annoyance
takilifu	trouble
tako	buttock
tako	behind
tako	rump
tako	butt
tako	base
takribani	almost
takribani	about
takrima	reception
takrima	hospitality
takrima	feast
takrima	festive entertainment
takriri	repetition
takriri	chorus
taksiri	defect
taksiri	fault deficit
takua	piety
takua	devoutness
takwimu	statistics
talaka	divorce
talasimu	charm
talasimu	talisman
talibisi	matting bulwark aboard a vessel
talii	peruse
talii	tour
taliki	divorce
taliki	rope used to lift the foot of a sail or cargo
taliza	plaster something with mortar to make smooth
talkini	reading performed after burial according to Islamic traditions
talo	stick throwing game
talo	six inch long stick used in a stick throwing game
tama	really
tama	truly
tama	truthfully
tama	conclusion
tama	end
tama	cheek
tamaa	lust
tamaa	longing
tamaa	expectation
tamaa	ambition
tamakani	settle
tamalaki	rule
tamalaki	exercise authority
tamani	desire
tamani	want
tamani	long for
tamani	covet
tamani	like
tamani	crave
tamathali	figure of speech
tamasha	show
tamasha	spectacle
tamasha	pageant
tamasha	festivity
tamasha	carnival
tamati	end
tamati	conclusion
tamauka	despair
tamauka	lose hope
tamba	walk in a conceited way
tamba	strut proudly
tamba	narrate
tambaa	crawl
tambaa	creep
tambaa	rag
tambaa	threadbare clothes
tambara	rag
tambara	threadbare clothes
tambarajika	become weak slack
tambarare	flat land
tambavu	thread rope or belt hung on the shoulders or over the chest
tambaza	drawl
tambazi	extensive swelling of the whole body
tambi	vermicelli
tambi	noodles pasta
tambika	perform rituals to appease the dead
tambiko	offering made to propitiate the spirits of the dead
tambo	puzzle
tambo	cryptic saying
tambo	nm size
tambo	amplitude
tambua	recall
tambua	recognize
tambua	realize
tambuka	pass over
tambuka	surmount
tambuu	betel leaf
tambuu	chewing betel leaf mix
tambuza	weld
tambuzi	intelligent
tambuzi	shrewd
tambuzi	clever
tamia	be charming
tamia	be pleasing
tamia	be attractive
tamia	be delightful
tamka	pronounce
tamka	state
tamko	pronuncement
tamko	statement
tamko	proclamation
tamrini	mental exercise
tamrini	exercise
tamshi	pronunciation
tamthilia	drama
tamthilia	play
tamu	sweet
tamu	delicious
tamviri	branch
tamwa	enjoy
tamwa	profit from
tamwa	feel happy
tanabahi	become aware conscious
tanabahi	realize
tanabahi	remember
tanabahisha	alert sb
tanabahisha	caution sb
tanabahisha	remind
tanadhari	beware
tanadhari	take care
tanadhari	be discreet
tanasari	convert from Islam to Christianity
tanbihi	footnote
tanbihi	notabene
tanbihi	note
tanda	extend
tanda	spread
tanda	lay out
tanda	overcast
tanda	spread over
tanda	catch fish by spreading net or large calico in water
tandabelua	uproar
tandabelua	commotion
tandabui	spiders web
tandala	greater kudu
tandama	spread out
tandama	lie stretched out
tandatu	six
tandawaa	be stretched out
tandaza	spread out
tandaza	reveal
tandika	lay a cover
tandika	spread out
tandika	beat
tandika	hit
tandiko	bedding
tandiko	mattress
tando	fish trap
tandu	centipede
tandua	take off
tandua	remove what is laid on
tandua	spread out or displayed
tanga	sail
tanga	formal mourning period
tanga	loiter
tanga	wander
tanga	stroll about
tangaa	be spread
tangaa	become known
tangaa	be famous
tangalachi	burial mat
tangamana	mix
tangamana	be together
tangamana	be in agreement with
tangamana	be in harmony with
tangamano	togetherness
tangamano	harmony
tangawizi	ginger
tangaza	advertise
tangaza	announce
tangazo	advertisement
tangazo	announcement
tange	cleared forest for farming
tangi	tank
tangi	cistern
tango	cucumber
tango	loitering
tango	wanderings
tangu	since
tangua	annul
tangua	revoke
tangua	rescind
tangulia	take the lead
tangulia	precede
tangulia	go ahead
tani	ton
tani	size
tani	on the back
tania	joke
tania	chaff
taniboi	lad
taniboi	turnboy
tanji	act of impounding sbs property
tano	five
tanu	fire wood heap
tanua	widen
tanua	expand
tanua	stretch apart
tanua	open wide
tanuka	be expanded
tanuka	be stretched apart
tanuka	be wide open
tanuri	kiln
tanuri	furnace
tanza	complicate
tanzi	noose
tanzi	loop
tanzia	obituary
tanzia	death announcement
tanzia	tragedy
tanzu	branch subsildiary
tanzua	solve a puzzle
tanzua	clarify
tanzua	elaborate
tanzuka	be clarified
tanzuka	be clear weather
tao	arch
tao	curve
tapa	leaf of a Deleb palm
tapa	dried banana stem
tapakaa	be spread all over
tapakaa	be scattered
tapanya	squander
tapanya	scatter
tapatapa	fret
tapatapa	be worried
tapatapa	be upset
tapatapa	be confused
tapeli	swindler
tapeli	conman
tapeli	trickster
tapia	strive for
tapia	pursue
tapia	be avid for
tapika	vomit
tapisha	give final initiation teachings to young girls
tapisha	flash toilet
tapisha	cause to vomit
tapisho	i initiation rites fee
tapisho	i emetic
tapo	troupe
tapo	group of people
tapo	i areca nut-like fruit whose flour is used to make porridge
tapo	i net of a dwarf-palm leaf used to join two strings of a dragnet
tara	i bizarre behaviour
tara	harassment
taraa	if
taraa	in case
tarabe	door of two halves
tarabizuna	perfume made from pot-pourri
tarabushi	fez
taradadi	wander about
taradadi	hesitate
